Time,Attention,Emotion,Confidence,Blinks,Yawns,Head
15:26:54,0,happy,49.0,1,0,No Face
15:26:59,100,happy,88.0,3,0,Forward
15:30:24,100,Unknown,0,Forward,Eyes Open,Mouth Closed
15:31:35,0,Unknown,0,No Face,No Face,No Face
15:31:41,100,Unknown,0,Forward,Eyes Open,Mouth Closed
15:31:46,0,Unknown,0,No Face,No Face,No Face
15:31:52,98,Unknown,0,Forward,Eyes Open,Mouth Closed
15:38:56,100,happy,84.0,Forward,Eyes Open,Mouth Closed
15:39:01,98,happy,84.0,Forward,Eyes Closed,Mouth Closed
15:39:07,100,neutral,75.0,Forward,Eyes Open,Mouth Closed
15:39:12,100,neutral,70.0,Forward,Eyes Open,Mouth Closed
15:39:17,98,neutral,49.0,Forward,Eyes Open,Mouth Closed
15:39:23,92,neutral,57.0,Forward,Eyes Open,Mouth Closed
15:44:32,100,Unknown,0,Forward,Eyes Open,Mouth Closed
15:44:37,100,Unknown,0,Forward,Eyes Open,Mouth Closed
15:44:42,100,neutral,89.0,Forward,Eyes Open,Mouth Closed
15:44:47,100,neutral,74.0,Forward,Eyes Open,Mouth Closed
15:44:52,88,neutral,74.0,Forward,Eyes Open,Mouth Closed
15:44:58,88,neutral,74.0,Forward,Eyes Open,Mouth Closed
15:45:03,82,neutral,74.0,Right,Eyes Open,Mouth Closed
15:45:08,100,neutral,74.0,Forward,Eyes Open,Mouth Closed
15:45:13,95,happy,99.0,Forward,Eyes Open,Mouth Closed
15:45:18,90,neutral,90.0,Forward,Eyes Open,Mouth Closed
15:45:23,100,neutral,84.0,Forward,Eyes Open,Mouth Closed
15:45:28,100,neutral,91.0,Forward,Eyes Open,Mouth Closed
15:45:33,100,neutral,94.0,Forward,Eyes Open,Mouth Closed
15:52:25,100,Unknown,0,Forward,Eyes Open,Mouth Closed
15:52:31,95,neutral,53.0,Forward,Eyes Open,Mouth Closed
15:52:36,95,neutral,64.0,Forward,Eyes Closed,Mouth Closed
15:52:41,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:52:46,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:52:51,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:52:56,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:00,0,Unknown,0,No Face,No Face,No Face
15:53:01,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:06,80,fear,30.0,Left,Eyes Open,Mouth Closed
15:53:06,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:11,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:11,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:16,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:16,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:21,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:21,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:26,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:26,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:31,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:32,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:36,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:37,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:41,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:42,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
